pipeline,train_rows,test_rows,test_size,random_state,mae,mse,rmse,r2
with_pca,331,83,0.2,42,5.652043037061452,56.16359558449399,7.494237491866267,0.6652141087535176
without_pca,331,83,0.2,42,5.305232952584969,53.50225236117991,7.314523385783923,0.6810781244679242
