M,explained_variance_ratio,cumulative_variance_ratio,reconstruction_mse_standardized,cev_percent,in_elbow_region,selected_m,meets_cev_target
1,0.4457324651194338,0.4457324651194338,0.5542675348805665,44.57324651194338,False,False,False
2,0.17456624236903093,0.6202987074884647,0.37970129251153534,62.02987074884647,True,False,False
3,0.16382974618463106,0.7841284536730958,0.21587154632690433,78.41284536730959,True,True,False
4,0.09924570863233997,0.8833741623054358,0.11662583769456426,88.33741623054358,False,False,False
5,0.09160354772925965,0.9749777100346954,0.025022289965304628,97.49777100346954,False,False,True
6,0.025022289965304607,1.0,1.689251709627521e-29,100.0,False,False,True
