feature,PC1,PC2
X1 transaction date,0.021174847262097934,0.6361319150540575
X2 house age,-0.004534915259664096,0.7278927059150778
X3 distance to the nearest MRT station,0.5705571772383529,0.07930835374182488
X4 number of convenience stores,-0.4611270033267586,0.11283464132689522
X5 latitude,-0.44909709359309846,0.1650092901056504
X6 longitude,-0.5095775262096366,-0.13877628849161
