component,explained_variance,explained_variance_ratio,cumulative_variance_ratio
PC1,2.680870322897515,0.4457324651194338,0.4457324651194338
PC2,1.0499335255318956,0.17456624236903093,0.6202987074884647
PC3,0.9853585702726964,0.16382974618463106,0.7841284536730958
PC4,0.5969160780695703,0.09924570863233997,0.8833741623054358
