pipeline,max_depth,min_samples_leaf,mae_mean,rmse_mean,r2_mean,mae_std,rmse_std,r2_std
with_pca,2,1,6.9892802447854905,9.665283644513945,0.4894830111346608,1.244975061115077,2.7229207290363586,0.13942220385642612
with_pca,2,5,6.9892802447854905,9.665283644513945,0.4894830111346608,1.244975061115077,2.7229207290363586,0.13942220385642612
with_pca,2,10,6.9892802447854905,9.665283644513945,0.4894830111346608,1.244975061115077,2.7229207290363586,0.13942220385642612
with_pca,2,20,6.998022266080144,9.658587146726713,0.4904565567776701,1.240286414706245,2.7203529810708025,0.13770062064969352
with_pca,3,1,6.5285700787012555,9.227993217068875,0.5338226336735057,1.1782347418254613,2.7179515917931325,0.14034647470486544
with_pca,3,5,6.5718784289052845,9.270304503036378,0.5301282891153457,1.1025937993122175,2.6537947056184374,0.13029220515660678
with_pca,3,10,6.619509803666347,9.23404462792492,0.5335083414129024,1.149737695350293,2.5363156717771123,0.12163109677797307
with_pca,3,20,6.83295586625881,9.396607554390274,0.5176842830241418,1.1628357268682339,2.514053101604219,0.11480115824172588
with_pca,4,1,6.607255401524789,9.555976891173804,0.4958429279170352,1.0984042166870582,2.700721624891762,0.16603883714590814
with_pca,4,5,6.638476729273397,9.595868429082257,0.49209562866972395,0.9446292622423618,2.4864680240001684,0.13676570280867745
with_pca,4,10,6.688225971476773,9.453794869785785,0.5058951447716462,0.9829496486766843,2.1873109175453096,0.12126112071041807
with_pca,4,20,6.968227478130709,9.63250917229044,0.49121663225170825,1.0666704867411507,2.396643893401322,0.11223230979145943
with_pca,5,1,6.7716855815461825,10.180228567850905,0.4169168912332049,1.1406643786845594,2.9572119898040117,0.23302254223956065
with_pca,5,5,6.7239797244883786,9.590859162381982,0.4938073219611768,0.8422810925707691,2.612694810576453,0.1440878266742208
with_pca,5,10,6.6903552747766195,9.344177882680762,0.5172278696820873,1.0265707267399167,2.325487801928001,0.13565276862076237
with_pca,5,20,6.889371114174329,9.53105719463856,0.5020423693973296,0.9670794714869851,2.3652068980086094,0.11091019162961226
with_pca,none,1,8.018003165988242,12.070218371482829,0.17401390311808596,1.5986534416769285,3.41489391403043,0.34794613966275445
with_pca,none,5,6.740325522459851,9.718089132536468,0.48344974860172457,1.0034620809094037,2.908260442200863,0.15683402542518096
with_pca,none,10,6.7116819601875735,9.382086148756377,0.5124943021271944,0.9650600082136745,2.181849175207872,0.12865556230805092
with_pca,none,20,6.889371114174329,9.53105719463856,0.5020423693973296,0.9670794714869851,2.3652068980086094,0.11091019162961226
without_pca,2,1,6.090861452235404,8.776523444002972,0.5793131973918257,1.1291207124797267,2.668457092381194,0.1282434735951094
without_pca,2,5,6.090861452235404,8.776523444002972,0.5793131973918257,1.1291207124797267,2.668457092381194,0.1282434735951094
without_pca,2,10,6.090861452235404,8.776523444002972,0.5793131973918257,1.1291207124797267,2.668457092381194,0.1282434735951094
without_pca,2,20,6.158616826873533,8.887483086497815,0.5686651640231634,0.8553455067183945,2.4521887696259443,0.1099706130804968
without_pca,3,1,5.877971813669189,9.31731516789841,0.5186220470251239,0.7661602975185448,2.3740995615739835,0.15469476183892392
without_pca,3,5,5.586550987155901,8.117557879401536,0.6389370240855989,0.8511109159122036,2.4409779958309477,0.1150157691898811
without_pca,3,10,5.520100996659438,8.026446051929206,0.6461474978382287,0.9183971456648738,2.5306881156935708,0.12453470586992611
without_pca,3,20,5.645506902284922,8.143347055882149,0.6354664294263989,0.8403773192773394,2.390638391076147,0.11739834661432846
without_pca,4,1,6.118849264609063,9.580948822378534,0.4957520236369225,0.6458448422818509,2.5291697922540193,0.14751852108323082
without_pca,4,5,5.753736845501377,8.44152644022154,0.6130124310690602,0.7345044505667386,2.5960382271768427,0.11288053790154418
without_pca,4,10,5.811379405506328,8.57355740552097,0.5989389931246853,0.557399706708103,2.2519337482473576,0.08930120222235036
without_pca,4,20,5.871520783937564,8.433871589164879,0.6107326143066308,0.6800081920188258,2.3086540610528847,0.10336686121239345
without_pca,5,1,5.7768395664704295,9.411685796161311,0.5115174901077552,0.7210566333473976,2.5963985432881,0.15303087169694884
without_pca,5,5,5.7133501781723455,8.622306310046334,0.5950357686740981,0.6027256445604534,2.3944154001448923,0.10126214490667271
without_pca,5,10,5.880796762158566,8.67552725102782,0.5877746831410118,0.49430731206489925,2.211951263239754,0.09484751167199289
without_pca,5,20,5.873076722120218,8.420310191645928,0.6120121298789143,0.6490781502430798,2.300571091989996,0.10217667818154497
without_pca,none,1,6.602914970601537,10.38222909164698,0.3873834844116507,0.9619448798168607,2.007196355300472,0.21289097680241542
without_pca,none,5,5.775985880482149,8.631361176671437,0.5939640760796778,0.5388411655884532,2.1974841712707387,0.08408268978358566
without_pca,none,10,5.908148390966652,8.67721789083375,0.5877501747696712,0.3809074578859117,2.0928700166085434,0.0825980903650572
without_pca,none,20,5.873076722120218,8.420310191645928,0.6120121298789143,0.6490781502430798,2.300571091989996,0.10217667818154497
