representation,pipeline,max_depth,min_samples_leaf,tree_depth,number_of_leaves,cv_mae_mean,cv_rmse_mean,cv_r2_mean,cv_mae_std,cv_rmse_std,cv_r2_std,test_mae,test_mse,test_rmse,test_r2,root_feature,root_threshold,development_rows,test_rows,test_size,split_random_state,random_state,cv_folds,pca_components
Original,without_pca,3,10,3,7,5.520100996659438,8.026446051929206,0.6461474978382287,0.9183971456648738,2.5306881156935708,0.12453470586992611,4.727443089948929,41.68835181583131,6.456651749616926,0.7514996703467246,X3 distance to the nearest MRT station,826.8273620605469,331,83,0.2,42,42,5,3
PCA,with_pca,3,1,3,8,6.5285700787012555,9.227993217068875,0.5338226336735057,1.1782347418254613,2.7179515917931325,0.14034647470486544,5.50689956522581,54.861540728296134,7.406857682465361,0.6729755348329468,PC1,0.2530391290783882,331,83,0.2,42,42,5,3
