representation,pipeline,k,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_mae,test_mse,test_rmse,test_r2,development_rows,test_rows,test_size,random_state,cv_folds,pca_components
Original,without_pca,15,5.90962490577416,0.9527729431540992,8.530054861260433,2.5784381162748558,0.6024812046585707,0.12215438864873288,4.978875502008032,44.92261793842036,6.702433732490039,0.7322205153155923,331,83,0.2,42,5,3
PCA,with_pca,25,6.141339665309814,0.9532853183974326,8.799853423759117,2.7400742052805187,0.5775049841535453,0.13346519524119344,5.0851566265060235,43.48218120481927,6.594102001396344,0.7408068227025066,331,83,0.2,42,5,3
