pipeline,k,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std
with_pca,3,7.025133423790139,0.8607179246899087,10.29974788541127,2.490680584320719,0.4111048952675329,0.15959650088864355
with_pca,5,6.7158905472636805,0.8514360589000755,9.452181160187857,2.450520080373978,0.5092904975217499,0.12351476121374767
with_pca,7,6.587221683788847,0.6902705979542512,9.315085565938123,2.289787458065905,0.5244547778520408,0.09952470302468804
with_pca,9,6.40774511281974,1.0027364110475028,9.116112185458125,2.5659514686787483,0.545097729570848,0.12518964464927157
with_pca,11,6.259654619464659,1.0367200622031838,8.929734955932606,2.7165255360739478,0.5649679636647893,0.1311088876610052
with_pca,15,6.184341022161918,1.0761884122767194,8.86338773592685,2.705855276696521,0.5691631094602885,0.13874078580876847
with_pca,20,6.166690863862505,1.048235783076831,8.801087424550726,2.673119685162962,0.5750518491926598,0.13537818500416104
with_pca,25,6.141339665309814,0.9532853183974326,8.799853423759117,2.7400742052805187,0.5775049841535453,0.13346519524119344
with_pca,30,6.207480627167194,0.988823908913505,8.822324697731379,2.6337720815493073,0.574895778273335,0.12607261854721727
with_pca,35,6.336208696775861,0.9535144196769806,8.87798749184144,2.6276171591160287,0.5704858751865238,0.1214016477190987
with_pca,40,6.456480890999548,0.9413283309211208,8.996918461251065,2.629836423846032,0.5593496342113538,0.1193774271561297
without_pca,3,6.298195386702849,0.7517541445663333,9.38767650999806,2.592049745091875,0.50857697319953,0.17942391657672008
without_pca,5,6.165971053821801,0.7289941581171,8.876029095718524,2.5073247405442407,0.5654485506401806,0.13604229466783807
without_pca,7,6.188413129159398,0.6420430045077948,8.837854990489648,2.4199046714859858,0.572194247820504,0.11452506824356617
without_pca,9,6.220347253630836,0.6961388966921825,8.844287007174291,2.4156698670333516,0.5703113705165286,0.1194497346048416
without_pca,11,6.045270342502364,0.8395320291430235,8.644629065231104,2.5398631084091616,0.5904748878935961,0.12473684989755793
without_pca,15,5.90962490577416,0.9527729431540992,8.530054861260433,2.5784381162748558,0.6024812046585707,0.12215438864873288
without_pca,20,5.989909317051108,1.0181492079261616,8.59099155698734,2.7158654494050394,0.5972030274551358,0.1327253543742501
without_pca,25,6.099122207146087,0.9595754921367333,8.664506340808751,2.659467030738221,0.5900371319289268,0.1292369126039189
without_pca,30,6.286114729383385,0.9421152107377816,8.859378729380264,2.6475582930523176,0.5713873940652988,0.12854061122912422
without_pca,35,6.45813736512244,0.9013340873336184,8.962194548017093,2.568933108892463,0.5615110063632421,0.12025104613861747
without_pca,40,6.5337245590230655,0.889704318344888,9.022889523304325,2.5723638434023286,0.5563701282777236,0.11634312169221582
